oracle,dataset,iters,measurements,kway,epsilon,seed,noisy_error,error,time
convex,adult,10000,32,2,10.0,0,0.032414440116825725,0.00878185481949986,842.6187539100647
convex,adult,10000,32,2,0.01,0,28.040020029742145,0.5826330142086366,1032.7516973018646
exact,adult,10000,32,2,31.622776601683793,0,0.012434853712391513,0.003744767531003522,15259.308502912521
exact,adult,10000,32,2,100.0,0,0.0054426818991054685,0.002714464549103608,16489.47071504593
exact,adult,10000,32,2,3.1622776601683795,0,0.09370006166934093,0.018536948127724044,16552.675134658813
exact,adult,10000,32,2,10.0,0,0.03250517238428381,0.007337768421921758,16625.236464738846
exact,adult,10000,32,2,100.0,0,0.005410688451902284,0.002657061380682115,16643.26937866211
exact,adult,10000,32,2,100.0,0,0.005378408272785668,0.0026820673466791695,16685.685475587845
exact,adult,10000,32,2,31.622776601683793,0,0.01242091909934835,0.003685390055291543,16766.64755821228
exact,adult,10000,32,2,31.622776601683793,0,0.012453822276246666,0.00371628541613824,16812.65176820755
exact,adult,10000,32,2,10.0,0,0.0324523210466624,0.007470628657906809,16832.83016371727
exact,adult,10000,32,2,0.1,0,2.803128383912613,0.17199197455160906,16994.048744678497
exact,adult,10000,32,2,10.0,0,0.032533688243995856,0.007377980706700497,17013.1891412735
exact,adult,10000,32,2,3.1622776601683795,0,0.09356190950826428,0.018784356930022936,17036.017721652985
exact,adult,10000,32,2,31.622776601683793,0,0.012459991813935095,0.0037022272563254893,17065.86637687683
exact,adult,10000,32,2,3.1622776601683795,0,0.09352872822407622,0.01869801533952698,17155.943479061127
exact,adult,10000,32,2,0.31622776601683794,0,0.8895762009335588,0.09106753619117547,17196.836312055588
exact,adult,10000,32,2,1.0,0,0.28506105898476763,0.04310058584137602,17206.374150276184
exact,adult,10000,32,2,0.1,0,2.8168229221396515,0.16948833931824653,17206.43928217888
exact,adult,10000,32,2,1.0,0,0.2856513780084001,0.04311723343045652,17243.288803339005
exact,adult,10000,32,2,10.0,0,0.03251194698534868,0.007432800170213729,17248.741765499115
exact,adult,10000,32,2,0.01,0,28.252560589263215,0.44440952050568366,17257.32539510727
exact,adult,10000,32,2,1.0,0,0.2854527906526168,0.044432438271018,17265.255718946457
exact,adult,10000,32,2,0.31622776601683794,0,0.8912179310901507,0.08987311893414265,17304.14236140251
exact,adult,10000,32,2,0.31622776601683794,0,0.8943772646375947,0.09049294474059713,17331.994460582733
exact,adult,10000,32,2,0.01,0,28.093977102590966,0.4368877837319933,17366.029168128967
exact,adult,10000,32,2,3.1622776601683795,0,0.09365355845122329,0.018849473992645114,17404.612659931183
exact,adult,10000,32,2,0.1,0,2.8074883285112016,0.16986641274764266,17403.74963259697
exact,adult,10000,32,2,0.03162277660168379,0,8.861841269016718,0.28415951049206445,17405.81207036972
exact,adult,10000,32,2,0.31622776601683794,0,0.8926125565503287,0.09214525893333828,17410.46284675598
exact,adult,10000,32,2,0.1,0,2.811141294457924,0.1734134744489938,17562.502421855927
exact,adult,10000,32,2,0.01,0,28.023398722246746,0.4414149888207868,17521.45212817192
